ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000092,HY189866,3/18/2015 19:44,047XX W OHIO ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,1111,11,28,25,04B,1144606,1903566,2015,2/10/2018 15:50,41.89139886,-87.74438457,"(41.891398861, -87.744384567)"
10000094,HY190059,3/18/2015 23:00,066XX S MARSHFIELD AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,725,7,15,67,26,1166468,1860715,2015,2/10/2018 15:50,41.77337153,-87.66531947,"(41.773371528, -87.665319468)"
10000095,HY190052,3/18/2015 22:45,044XX S LAKE PARK AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,222,2,4,39,08B,1185075,1875622,2015,2/10/2018 15:50,41.81386068,-87.59664284,"(41.81386068, -87.596642837)"
10000096,HY190054,3/18/2015 22:30,051XX S MICHIGAN AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,225,2,3,40,08B,1178033,1870804,2015,2/10/2018 15:50,41.80080242,-87.62261934,"(41.800802415, -87.622619343)"
10000097,HY189976,3/18/2015 21:00,047XX W ADAMS ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1113,11,28,25,3,1144920,1898709,2015,2/10/2018 15:50,41.87806476,-87.74335401,"(41.878064761, -87.743354013)"
10000098,HY190032,3/18/2015 22:00,049XX S DREXEL BLVD,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,223,2,4,39,08B,1183018,1872537,2015,2/10/2018 15:50,41.80544335,-87.60428398,"(41.805443345, -87.604283976)"
10000099,HY190047,3/18/2015 23:00,070XX S MORGAN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,733,7,17,68,08B,1170859,1858210,2015,2/10/2018 15:50,41.76640278,-87.64929612,"(41.766402779, -87.649296123)"
10000100,HY189988,3/18/2015 21:35,042XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,213,2,3,38,08B,1178746,1876914,2015,2/10/2018 15:50,41.81755258,-87.61981852,"(41.817552577, -87.619818523)"
10000101,HY190020,3/18/2015 22:09,036XX S WOLCOTT AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,912,9,11,59,18,1164279,1880656,2015,2/10/2018 15:50,41.82813843,-87.67278211,"(41.828138428, -87.672782106)"
10000104,HY189964,3/18/2015 21:25,097XX S PRAIRIE AVE,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,511,5,6,49,08B,1179637,1840444,2015,2/10/2018 15:50,41.71745472,-87.61766326,"(41.71745472, -87.617663257)"
10000105,HY189984,3/18/2015 21:30,130XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,533,5,9,54,14,1180907,1818839,2015,2/10/2018 15:50,41.65813849,-87.61367286,"(41.658138493, -87.613672862)"
10000108,HY189719,3/15/2015 16:10,078XX S VINCENNES AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CTA GARAGE / OTHER PROPERTY,FALSE,TRUE,623,6,17,69,26,1175130,1853144,2015,2/10/2018 15:50,41.7524068,-87.63379238,"(41.752406801, -87.633792381)"
